report_id,title,ticker,date,pdf_url,download_url,downloaded,download_path
7d3b44affcc150a49c7628bcfabbbbde,CTCP Tổng Công ty Điện lực Dầu khí Việt Nam - Báo cáo cập nhật 1Q2025,,10/06/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_POW_20250610.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_POW_20250610.pdf,False,
ec7c0861f1ded514c0c0ebdcb0ae027a,CTCP Bán lẻ Kỹ thuật số FPT - Báo cáo cập nhật 1Q2025,,09/06/2025,https://kbsec.com.vn/pic/Service/KBSV_FRT_Baocaocapnhat_250609.pdf,https://kbsec.com.vn/pic/Service/KBSV_FRT_Baocaocapnhat_250609.pdf,False,
51ec5c220274b26c9a85146acf0bbe75,CTCP Nhựa Bình Minh - Báo cáo cập nhật 1Q2025,,09/06/2025,https://kbsec.com.vn/pic/Service/KBSV_BMP_Baocaocapnhat_250609.pdf,https://kbsec.com.vn/pic/Service/KBSV_BMP_Baocaocapnhat_250609.pdf,False,
57df11c25ad6de2c555e0ca53ea912b9,Ngân hàng TMCP Ngoại Thương Việt Nam - Báo cáo cập nhật 1Q2025,,09/06/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_VCB_20250609.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_VCB_20250609.pdf,False,
3e1122e5ba30020a7a58fd70bec2ee81,CTCP Cơ điện lạnh REE - Báo cáo cập nhật 1Q2025,,05/06/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_REE_20250605.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_REE_20250605.pdf,False,
b013a82a3f5f736ce8bee3ac98d9165e,CTCP Tập đoàn FPT - Báo cáo cập nhật 1Q2025,,05/06/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_FPT_20250605.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_FPT_20250605.pdf,False,
44a3dfc87eb97265cb2df96901eccccd,CTCP Đầu tư và Kinh doanh Nhà Khang Điền - Báo cáo cập nhật 1Q2025,,03/06/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_20250603.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_20250603.pdf,False,
331e3ff380b27a07eea6c509238bcf27,CTCP Gemadept - Báo cáo cập nhật 1Q2025,,02/06/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_GMD_20250602.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_GMD_20250602.pdf,False,
46696a5ee49359a8ffdc295190ee85d1,Ngân hàng TMCP Đầu Tư và Phát Triển Việt Nam - Báo cáo cập nhật 1Q2025,,30/05/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_BID_20250529.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_BID_20250529.pdf,False,
1d5d2bf3a4265bce763c9c6c453170dd,Ngân hàng TMCP Kỹ Thương Việt Nam - Báo cáo cập nhật 1Q2025,,28/05/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_TCB_202505.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_TCB_202505.pdf,False,
ef7dc11b6c3ac22d44664c4d7a45ff3b,CTCP Sữa Việt Nam - Báo cáo cập nhật 1Q2025,,23/05/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_VNM_1Q2025.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_VNM_1Q2025.pdf,False,
7ac1009fb6dc2a2cdc2e56c4b1a0a5c1,Ngân hàng TMCP Công Thương Việt Nam - Báo cáo cập nhật 1Q2025,,22/05/2025,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_CTG_20250522.pdf,https://kbsec.com.vn/pic/Service/KBSV_Baocaocapnhat_CTG_20250522.pdf,False,
