title,pdf_url,page
Ấn Độ hạn chế xuất khẩu gạo,https://kbsec.com.vn/pic/Service/BCCD_AnDohanchexuatkhaugao_200922 (2).pdf,5
Thị trường Trái phiếu doanh nghiệp 2Q2022,https://kbsec.com.vn/pic/Service/KBSV_Traiphieu_2Q2022 (2).pdf,5
Đánh giá Lạm phát tháng 06/2022,https://kbsec.com.vn/pic/Service/KBSV_FTM_LAMPHAT (2).pdf,5
Bản tin Thị trường Trái phiếu Tháng 05 năm 2022,https://kbsec.com.vn/pic/Service/KBSV_Traiphieu_05T2022.pdf,5
Bản tin Thị trường Trái phiếu Tháng 04 năm 2022,https://kbsec.com.vn/pic/Service/KBSV_Traiphieu_04T2022.pdf,5
Bản tin Thị trường Trái phiếu Tháng 02 năm 2022,https://kbsec.com.vn/pic/Service/KBSV_Traiphieu_02T2022 (2).pdf,6
Đánh giá nhanh chỉ số PMI và IIP tháng 2/2022,https://kbsec.com.vn/pic/Service/KBSV_FTM_SanXuatCongNghiep_20220301.pdf,6
Đánh giá Giá xăng và Lạm phát tháng 2,https://kbsec.com.vn/pic/Service/KBSV_FTM_GIAXANGVALAMPHAT_2222022.pdf,6
Bản tin Thị trường Trái phiếu Tháng 01 năm 2022,https://kbsec.com.vn/pic/Service/KBSV_Traiphieu_01T2022.pdf,6
Cơ cấu ETF kỳ tháng 1 2022,https://kbsec.com.vn/pic/Service/KBSV_Cơ_cấu_danh_mục_tháng_1_2022_VN30 Index.pdf,6
Bản tin Thị trường Trái phiếu Tháng 11 năm 2021,https://kbsec.com.vn/pic/Service/KBSV_Traiphieu_11T2021.pdf,6
Đánh giá thao túng tiền tệ của Việt Nam (trong kỳ 06/2020 - 06/2021),https://kbsec.com.vn/pic/Service/KBSV_FTM_THAOTUNGTIENTE_07122021.pdf,6
Lạm phát tháng 11/2021,https://kbsec.com.vn/pic/Service/KBSV_FTM_LAMPHAT_02122021 (3).pdf,6
Tăng trưởng tín dụng tháng 10/2021,https://kbsec.com.vn/pic/Service/KBSV_FTM_TINDUNG_2021115.pdf,6
