level,fullTitleVi,fullTitleEn,2017_5,2018_5,2019_5,2020_5,2021_5,2022_5,2023_5,2024_5
2,"Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Electricity, fuel and hot water generation and distribution",1858933000000.0,2409681000000.0,2858783000000.0,3100097000000.0,4590745000000.0,3951228000000.0,3794489000000.0,2017000000000.0
2,"Cung cấp nước, quản lý và xử lý rác thải, nước thải","Water supply, waste and wastewater treatments",88955000000.0,23526000000.0,31413000000.0,43775000000.0,69892000000.0,28872000000.0,31580000000.0,52607000000.0
2,Khai khoáng,Mining,1271854000000.0,1590134000000.0,1418239000000.0,1242940000000.0,1720167000000.0,1451843000000.0,1751323000000.0,2082826000000.0
2,Xây dựng,Construction,6100546000000.0,8095573000000.0,6957444000000.0,9135831000000.0,13055747000000.0,12093130000000.0,11876937000000.0,17442917000000.0
2,Dịch vụ cộng đồng và cá nhân,Personal and public services,11272702000000.0,7029164000000.0,8893899000000.0,463821000000.0,962913000000.0,619972000000.0,1549820000000.0,4880157000000.0
2,Hoạt động phục vụ cá nhân và cộng đồng,Personal and commodity activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Hoạt động các tổ chức và đoàn thể quốc tế,International organization activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Y tế và hoạt động cứu trợ xã hội,Healthcare and social work,84188000000.0,37304000000.0,29948000000.0,39231000000.0,250411000000.0,48332000000.0,9012000000.0,761399000000.0
2,"Nghệ thuật, vui chơi, giải trí",Arts and Entertainment,15818000000.0,127065000000.0,62876000000.0,1056000000.0,21075000000.0,8984000000.0,834835000000.0,3162625000000.0
2,Hoạt động hành chính và các dịch vụ hỗ trợ,Administration activities and supportive services,1868575000000.0,201007000000.0,800483000000.0,322874000000.0,293411000000.0,448661000000.0,538943000000.0,879171000000.0
2,"Hoạt động của Đảng, tổ chức chính trị xã hội, quản lý nhà nước, an ninh quốc phòng, bảo đảm XH bắt buộc","Party, Unions, compulsory social security",0.0,0.0,1178000000.0,0.0,0.0,0.0,0.0,0.0
2,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất vật chất và dịch vụ tự tiêu dùng của hộ gia đình",Household supporting activities,36461000000.0,95172000000.0,184851000000.0,0.0,0.0,0.0,0.0,0.0
2,Hoạt động dịch vụ khác,Other services,9267660000000.0,6568616000000.0,7814563000000.0,100660000000.0,398016000000.0,113995000000.0,167030000000.0,76962000000.0
2,"Kho bãi, vận tải, viễn thông","Warehousing, transportation and communication",4338367000000.0,3000572000000.0,3825153000000.0,3386328000000.0,3052918000000.0,1879598000000.0,8651292000000.0,6822028000000.0
2,"Vận tải, kho bãi",Transport and warehouse,3257263000000.0,2853511000000.0,2822942000000.0,2700900000000.0,2372041000000.0,1516639000000.0,7867107000000.0,6213823000000.0
2,Thông tin và truyền thông,Information and communications,1081104000000.0,147061000000.0,1002211000000.0,685428000000.0,680877000000.0,362959000000.0,784185000000.0,608205000000.0
2,Giáo dục và đào tạo,Training and education,839567000000.0,946351000000.0,1085871000000.0,442261000000.0,531953000000.0,363516000000.0,636720000000.0,10997805000000.0
2,Giáo dục và đào tạo,Education and training,71687000000.0,154973000000.0,242994000000.0,186103000000.0,181274000000.0,104111000000.0,129156000000.0,160204000000.0
2,"Hoạt động chuyên môn, khoa học và công nghệ","Profession, science and technology",767880000000.0,791378000000.0,842877000000.0,256158000000.0,350679000000.0,259405000000.0,507564000000.0,10837601000000.0
2,Bất động sản và tư vấn,Estate agents and consultants,20326233000000.0,13554781000000.0,50421549000000.0,91360789000000.0,95912748000000.0,108805146000000.0,176803981000000.0,187100081000000.0
2,Khách sạn và nhà hàng,Hotels and restaurants,5571892000000.0,927745000000.0,1876083000000.0,194360000000.0,180356000000.0,245674000000.0,1293097000000.0,1068294000000.0
2,Dịch vụ tài chính,Financial services,9304078000000.0,9468647000000.0,662780000000.0,7794676000000.0,1264161000000.0,45852000000.0,966379000000.0,9377851000000.0
2,Các ngành khác,Others,64777431000000.0,72383679000000.0,105247350000000.0,111139446000000.0,161657101000000.0,226806948000000.0,221480506000000.0,272316570000000.0
1,Các khoản cho vay phân theo chất lượng nợ vay,Loans and advances by Grading,160849037000000.0,159939217000000.0,230802027000000.0,277524615000000.0,347341244000000.0,420523705000000.0,518641568000000.0,631724964000000.0
2,Nợ đủ tiêu chuẩn,Current,155931825000000.0,154548122000000.0,225601458000000.0,274423557000000.0,342902534000000.0,408757966000000.0,508203471000000.0,620183253000000.0
2,Nợ cần chú ý,Special Mentioned,2333286000000.0,2587646000000.0,2122693000000.0,1805866000000.0,2144836000000.0,8733124000000.0,4438954000000.0,4440911000000.0
2,Nợ dưới tiêu chuẩn,Substandard,575397000000.0,237758000000.0,218128000000.0,416892000000.0,678516000000.0,901592000000.0,1856801000000.0,1365655000000.0
2,Nợ nghi ngờ,Doubtful,455567000000.0,862510000000.0,305230000000.0,533944000000.0,860243000000.0,1131097000000.0,2762221000000.0,2465618000000.0
2,Nợ xấu có khả năng mất vốn,Bad,1552962000000.0,1703181000000.0,2554518000000.0,344356000000.0,755115000000.0,999926000000.0,1380121000000.0,3269527000000.0
1,Các khoản cho vay phân theo thời gian,Loans and advances by Maturity,160849037000000.0,159939217000000.0,230802027000000.0,277524615000000.0,347341244000000.0,420523705000000.0,518641568000000.0,631724964000000.0
2,Cho vay ngắn hạn,Short term loans,63412628000000.0,60381950000000.0,85584018000000.0,92424839000000.0,114637983000000.0,142211821000000.0,187102949000000.0,237697354000000.0
2,Cho vay trung hạn,Medium term loans,42896541000000.0,36774904000000.0,47443165000000.0,85255104000000.0,93573522000000.0,79300508000000.0,118208799000000.0,85211565000000.0
2,Cho vay dài hạn,Long term loans,54539868000000.0,62782363000000.0,97774844000000.0,99844672000000.0,139129739000000.0,199011376000000.0,213329820000000.0,308816045000000.0
1,Các khoản cho vay phân theo tiền tệ,Loans and advances by Currency,160849037000000.0,159939217000000.0,230802027000000.0,277524615000000.0,347341244000000.0,420523705000000.0,518641568000000.0,631724964000000.0
2,VNĐ,Denominated in VND,152379665000000.0,150586487000000.0,218889092000000.0,259098646000000.0,328915275000000.0,405327627000000.0,499420547000000.0,605064465000000.0
2,Ngoại tệ và vàng,Denominated in FC and gold,8469372000000.0,9352730000000.0,11912935000000.0,18425969000000.0,18425969000000.0,15196078000000.0,19221021000000.0,26660499000000.0
1,Các khoản cho vay phân theo vị trí địa lý,Loans and advances by Geography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TP Hồ Chí Minh,HCM city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
